Quote, Company Name, CUSIP,Algorithm,Consensus, Consensus Price, Consensus Date, Previous Consensus, Previous Consensus Price, Previous Consensus Date,Avg. HPR (Long), Avg. HPR (Short), Std. Dev (Long), Std. Dev (Short), Current Price, Target Price, Target Met, Target Ex-Date, Window #, Window Accuracy (Long),Window Accuracy (Short), Number of Trades, Avg. Trade Duration (mos), Inception Date, Fund Ranking (YTD-1), Mkt Ranking, Peer #1 Quote, Peer #1 Name,Peer #1 YTD-1 Fund Ranking, Peer #1 Mkt Ranking, Peer #2 Quote, Peer #2 Name,Peer #2 YTD-1 Fund Ranking, Peer #2 Mkt Ranking
ABCO,THE ADVISORY BOARD COMPANY,00762W107,Trend Analyzer V3.1,SHORT,$41.77 ,20-Aug-12,BUY,$16.50 ,19-Sep-08,153.15%,38.84%,100.00pp,100.00pp,$48.77 ,$25.55 ,N,14-Aug-14,5,100.00%,50.00%,3,24,20-Feb-07,2.64,1.62,THOMAS GROUP INC.,TGISQ,2.85,4.84,NATIONAL RESEARCH CORP.,NRCI,2.84,1.76
ABCO,THE ADVISORY BOARD COMPANY,00762W107,Momentum Analyzer V1.0,BUY,$43.68 ,16-Nov-12,SHORT,$47.34 ,11-Jun-12,113.65%,21.75%,149.01pp,113.02pp,$48.77 ,$93.32 ,N,18-Aug-14,5,100.00%,100.00%,5,21,24-May-04,2.64,1.62,THOMAS GROUP INC.,TGISQ,2.85,4.84,NATIONAL RESEARCH CORP.,NRCI,2.84,1.76
ABFS,ARKANSAS BEST CORPORATION,40790107,Trend Analyzer V3.1,SHORT,$9.75 ,24-Aug-12,SHORT,$21.98 ,17-Jun-11,-4.42%,-43.18%,175.01pp,203.49pp,$8.75 ,$13.96 ,Y,30-Dec-14,5,66.67%,66.67%,6,29,12-Mar-99,-1,-1,,,-1,-1,,,-1,-1
ABFS,ARKANSAS BEST CORPORATION,40790107,Momentum Analyzer V1.0,BUY,$6.56 ,15-Nov-12,SHORT,$46.01 ,14-Jul-06,35.72%,-45.21%,100.00pp,339.02pp,$8.75 ,$8.90 ,N,21-Dec-15,15,50.00%,0.00%,4,38,15-Nov-00,-1,-1,,,-1,-1,,,-1,-1
ABM,ABM INDUSTRIES INC.,957100,Trend Analyzer V3.1,SHORT,$22.85 ,24-Jun-11,HOLD,$19.50 ,9-Mar-05,69.94%,-4.15%,145.02pp,102.15pp,$20.31 ,$23.80 ,Y,17-May-14,10,66.67%,0.00%,5,35,26-Oct-98,2.67,3.46,CINTAS CORPORATION,CTAS,3.03,2.51,DISTINCTION GROUP INC.,GD,2.88,3.73
ABM,ABM INDUSTRIES INC.,957100,Momentum Analyzer V1.0,SHORT,$23.92 ,5-Nov-10,BUY,$18.78 ,30-Oct-09,27.37%,6.98%,100.00pp,100.00pp,$20.31 ,$22.25 ,Y,29-Apr-13,15,100.00%,100.00%,3,30,7-Sep-05,2.67,3.46,CINTAS CORPORATION,CTAS,3.03,2.51,DISTINCTION GROUP INC.,GD,2.88,3.73
ABT,ABBOTT LABORATORIES,2824100,Trend Analyzer V3.1,SHORT,$59.66 ,11-Apr-12,BUY,$51.09 ,9-Sep-10,16.04%,3.70%,102.57pp,102.86pp,$65.32 ,$57.45 ,N,22-Jul-14,10,100.00%,66.67%,6,28,12-Aug-99,2.77,2.12,ROCHE HOLDING LTD. (ADR),RHHBY,3.27,4.03,JOHNSON & JOHNSON,JNJ,3.15,2.52
ABT,ABBOTT LABORATORIES,2824100,Momentum Analyzer V1.0,SHORT,$58.16 ,5-Dec-07,HOLD,$44.53 ,17-Mar-05,71.03%,-14.73%,130.95pp,114.41pp,$65.32 ,$66.73 ,Y,16-Feb-11,10,100.00%,0.00%,5,39,2-May-97,2.77,2.12,ROCHE HOLDING LTD. (ADR),RHHBY,3.27,4.03,JOHNSON & JOHNSON,JNJ,3.15,2.52
ABTL,AUTOBYTEL INC.,05275N106,Trend Analyzer V3.1,SHORT,$3.99 ,22-Oct-12,SHORT,$5.90 ,22-Mar-11,35.83%,41.03%,257.18pp,129.63pp,$3.94 ,$2.35 ,N,8-May-14,10,50.00%,75.00%,8,19,5-Dec-00,-1,-1,PROGRESSIVE DIGITAL MEDIA GROUP PLC,PRO,3.05,1.04,SUPERMEDIA INC,SPMD,2.79,4.93
ABTL,AUTOBYTEL INC.,05275N106,Momentum Analyzer V1.0,SHORT,$5.90 ,10-Jun-10,BUY,$2.30 ,14-Jul-09,156.52%,72.94%,100.00pp,100.00pp,$3.94 ,$1.60 ,N,10-Jan-12,5,100.00%,100.00%,3,19,21-Apr-08,-1,-1,PROGRESSIVE DIGITAL MEDIA GROUP PLC,PRO,3.05,1.04,SUPERMEDIA INC,SPMD,2.79,4.93
ABX,BARRICK GOLD CORPORATION (USA),67901108,Trend Analyzer V3.1,SHORT,$44.19 ,9-Sep-10,SHORT,$46.84 ,3-Dec-09,12.49%,-25.36%,118.77pp,146.94pp,$34.37 ,$55.40 ,Y,4-Oct-12,10,66.67%,50.00%,7,25,26-Oct-98,2.66,3.71,FRANCO-NEVADA CORPORATION,FNV,2.78,2.19,SILVER WHEATON CORP. (USA),SLW,2.75,1.27
ABX,BARRICK GOLD CORPORATION (USA),67901108,Momentum Analyzer V1.0,BUY,$33.61 ,23-Jul-12,SHORT,$34.82 ,29-Jan-10,41.54%,3.48%,100.00pp,100.00pp,$34.37 ,$47.57 ,N,9-Feb-15,15,100.00%,100.00%,3,31,27-Jun-05,2.66,3.71,FRANCO-NEVADA CORPORATION,FNV,2.78,2.19,SILVER WHEATON CORP. (USA),SLW,2.75,1.27
ACAD,ACADIA PHARMACEUTICALS INC.,4040101,Trend Analyzer V3.1,SHORT,$1.41 ,12-Aug-11,BUY,$0.88 ,27-Oct-10,-20.27%,17.78%,200.95pp,149.56pp,$4.78 ,$1.16 ,N,5-Mar-13,20,66.67%,50.00%,5,19,26-Apr-05,2.7,2.21,JOHNSON & JOHNSON,JNJ,3.11,2.41,BRISTOL MYERS SQUIBB CO.,BMY,2.96,2.83
ACAD,ACADIA PHARMACEUTICALS INC.,4040101,Momentum Analyzer V1.0,SHORT,$1.64 ,1-Aug-11,SHORT,$1.81 ,24-Sep-09,13.04%,84.74%,124.76pp,100.00pp,$4.78 ,$0.25 ,N,29-Mar-13,5,50.00%,50.00%,4,20,21-Jun-06,2.7,2.21,JOHNSON & JOHNSON,JNJ,3.11,2.41,BRISTOL MYERS SQUIBB CO.,BMY,2.96,2.83
ACE,ACE LIMITED,H0023R105,Trend Analyzer V3.1,SHORT,$63.95 ,24-Jun-11,BUY,$39.01 ,3-Jan-02,63.93%,-66.00%,100.00pp,100.00pp,$79.76 ,$106.16 ,Y,14-Jan-16,10,100.00%,0.00%,3,55,12-Aug-99,2.8,2.39,ACE LIMITED,ACE,2.8,2.39,ALLIED WORLD ASSURANCE CO HLDGS. AG.,AWH,2.77,3.46
ACE,ACE LIMITED,H0023R105,Momentum Analyzer V1.0,SHORT,$52.36 ,27-Aug-09,BUY,$40.82 ,1-Apr-09,26.75%,-100.00%,126.73pp,NaNpp,$79.76 ,$104.72 ,Y,4-Aug-11,5,75.00%,25.00%,8,24,5-Nov-97,2.8,2.39,ACE LIMITED,ACE,2.8,2.39,ALLIED WORLD ASSURANCE CO HLDGS. AG.,AWH,2.77,3.46
ACGL,ARCH CAPITAL GROUP LTD.,G0450A105,Trend Analyzer V3.1,SHORT,$27.08 ,9-Sep-10,HOLD,$23.98 ,26-Jul-07,113.64%,-7.56%,189.18pp,105.24pp,$44.20 ,$29.13 ,N,4-Jun-13,10,100.00%,0.00%,5,33,11-Aug-99,2.63,2.93,AXIS CAPITAL HOLDINGS LTD.,AXS,3.09,3.13,ALLEGHANY CORPORATION,Y,2.83,2.7
ACGL,ARCH CAPITAL GROUP LTD.,G0450A105,Momentum Analyzer V1.0,BUY,$22.75 ,3-Aug-07,HOLD,$20.03 ,26-Apr-06,23.91%,-27.68%,108.93pp,161.95pp,$44.20 ,$28.19 ,Y,28-Jul-09,15,100.00%,25.00%,8,24,20-Jun-97,2.63,2.93,AXIS CAPITAL HOLDINGS LTD.,AXS,3.09,3.13,ALLEGHANY CORPORATION,Y,2.83,2.7
ACHN,ACHILLION PHARMACEUTICALS INC.,00448Q201,Trend Analyzer V3.1,SHORT,$6.57 ,1-Aug-12,SHORT,$10.82 ,9-Mar-12,19.86%,4.52%,188.43pp,138.15pp,$8.20 ,$6.27 ,N,18-Jan-13,5,66.67%,33.33%,12,6,25-Jun-07,2.35,2.6,ROCHE HOLDING LTD. (ADR),RHHBY,3.07,4.31,JOHNSON & JOHNSON,JNJ,3.03,2.87
ACHN,ACHILLION PHARMACEUTICALS INC.,00448Q201,Momentum Analyzer V1.0,SHORT,$7.32 ,7-Sep-12,SHORT,$10.56 ,27-Jan-12,9.87%,-100.00%,136.97pp,NaNpp,$8.20 ,$14.64 ,Y,18-May-13,5,75.00%,50.00%,8,8,18-Jul-07,2.35,2.6,ROCHE HOLDING LTD. (ADR),RHHBY,3.07,4.31,JOHNSON & JOHNSON,JNJ,3.03,2.87
ACI,ARCH COAL INC,39380100,Trend Analyzer V3.1,SHORT,$6.59 ,10-Sep-12,SHORT,$26.99 ,1-Jul-11,53.41%,22.77%,397.93pp,121.92pp,$7.56 ,$5.09 ,N,17-Apr-14,15,66.67%,75.00%,7,19,10-Jan-02,2.24,3.69,ALLIANCE RESOURCE PARTNERS L.P.,ARLP,2.91,2.67,ALPHA NATURAL RESOURCES INC.,ANR,2.5,4.65
ACI,ARCH COAL INC,39380100,Momentum Analyzer V1.0,SHORT,$22.69 ,26-Mar-10,BUY,$19.16 ,11-Sep-09,42.00%,-100.00%,123.27pp,NaNpp,$7.56 ,$45.38 ,Y,28-Jul-12,10,100.00%,66.67%,6,29,30-Mar-99,2.24,3.69,ALLIANCE RESOURCE PARTNERS L.P.,ARLP,2.91,2.67,ALPHA NATURAL RESOURCES INC.,ANR,2.5,4.65
ACN,ACCENTURE PLC,G1150G111,Trend Analyzer V3.1,BUY,$58.71 ,9-Dec-11,HOLD,$52.18 ,25-Feb-11,111.60%,-7.56%,100.00pp,105.66pp,$69.56 ,$124.23 ,N,19-Mar-14,10,100.00%,0.00%,4,28,23-Jan-04,2.99,2.92,INFOSYS LTD ADR,INFY,3.29,2.7,INTERNATIONAL BUSINESS MACHINES CORP.,IBM,3.01,2.84
ACN,ACCENTURE PLC,G1150G111,Momentum Analyzer V1.0,BUY,$56.98 ,4-Aug-11,HOLD,$43.67 ,20-Apr-10,17.92%,-22.61%,100.71pp,110.67pp,$69.56 ,$67.19 ,Y,22-Jun-13,10,100.00%,0.00%,6,23,30-Nov-01,2.99,2.92,INFOSYS LTD ADR,INFY,3.29,2.7,INTERNATIONAL BUSINESS MACHINES CORP.,IBM,3.01,2.84
ACO,AMCOL INTERNATIONAL CORPORATION,02341W103,Trend Analyzer V3.1,BUY,$32.21 ,10-Sep-12,SHORT,$38.19 ,1-Jul-11,77.55%,-16.95%,129.38pp,192.16pp,$30.60 ,$57.19 ,N,20-Dec-14,15,66.67%,66.67%,6,28,19-Aug-99,2.9,3.04,AMCOL INTERNATIONAL CORPORATION,ACO,2.9,3.04,CHINA RARE EARTH HLD,CREQF,2.85,2.84
ACO,AMCOL INTERNATIONAL CORPORATION,02341W103,Momentum Analyzer V1.0,SHORT,$23.70 ,28-Sep-11,BUY,$11.75 ,5-Sep-03,101.70%,0.00%,100.00pp,100.00pp,$30.60 ,$23.70 ,N,6-Sep-16,25,100.00%,50.00%,3,60,26-Jun-98,2.9,3.04,AMCOL INTERNATIONAL CORPORATION,ACO,2.9,3.04,CHINA RARE EARTH HLD,CREQF,2.85,2.84
ACOR,ACORDA THERAPEUTICS INC,-1,Trend Analyzer V3.1,SHORT,$24.61 ,10-Apr-12,BUY,$21.10 ,12-Apr-11,5.94%,-18.27%,128.02pp,150.64pp,$25.29 ,$29.11 ,Y,28-Nov-12,5,60.00%,40.00%,10,8,5-Oct-06,-1,-1,BIOGEN IDEC INC.,BIIB,2.96,1.99,WATSON PHARMACEUTICALS INC.,WPI,2.9,2.46
ACOR,ACORDA THERAPEUTICS INC,-1,Momentum Analyzer V1.0,SHORT,$22.91 ,14-Jun-12,BUY,$18.35 ,28-Sep-07,24.85%,17.49%,100.00pp,100.00pp,$25.29 ,$18.90 ,N,11-May-14,5,100.00%,50.00%,3,23,15-May-07,-1,-1,BIOGEN IDEC INC.,BIIB,2.96,1.99,WATSON PHARMACEUTICALS INC.,WPI,2.9,2.46
ACPW,ACTIVE POWER INC.,00504W100,Trend Analyzer V3.1,SHORT,$0.72 ,8-Apr-10,BUY,$0.70 ,18-Sep-08,2.86%,76.97%,100.00pp,100.00pp,$0.72 ,$0.17 ,N,6-May-13,20,100.00%,100.00%,3,37,11-Dec-03,2.73,3.98,GENERAC HOLDINGS INC.,GNRC,2.91,2.19,ACTIVE POWER INC.,ACPW,2.73,3.98
ACPW,ACTIVE POWER INC.,00504W100,Momentum Analyzer V1.0,BUY,$0.63 ,8-Nov-12,SHORT,$0.66 ,17-Feb-09,-21.12%,20.24%,182.38pp,114.48pp,$0.72 ,$0.50 ,Y,18-Mar-14,15,50.00%,100.00%,7,16,11-Sep-03,2.73,3.98,GENERAC HOLDINGS INC.,GNRC,2.91,2.19,ACTIVE POWER INC.,ACPW,2.73,3.98
ACU,ACME UNITED CORPORATION,4816104,Trend Analyzer V3.1,SHORT,$9.54 ,1-Jun-11,BUY,$7.63 ,16-Jan-09,69.57%,-2.77%,128.73pp,146.01pp,$10.84 ,$9.80 ,N,1-Jul-13,10,100.00%,50.00%,7,25,21-Sep-98,-1,-1,,,-1,-1,,,-1,-1
ACU,ACME UNITED CORPORATION,4816104,Momentum Analyzer V1.0,BUY,$9.69 ,13-Jan-12,HOLD,$9.37 ,23-Jun-11,212.33%,17.73%,100.00pp,121.89pp,$10.84 ,$30.27 ,N,26-Jan-16,10,100.00%,50.00%,4,49,13-Mar-97,-1,-1,,,-1,-1,,,-1,-1
ACXM,ACXIOM CORPORATION,5125109,Trend Analyzer V3.1,BUY,$18.49 ,10-Sep-12,SHORT,$19.50 ,29-Apr-10,62.36%,23.01%,157.41pp,121.15pp,$17.60 ,$30.02 ,N,20-Dec-14,15,66.67%,100.00%,6,28,18-Aug-99,2.3,3.24,ADOBE SYSTEMS INCORPORATED,ADBE,3.35,2.1,SYNTEL INC.,SYNT,3.12,1.41
ACXM,ACXIOM CORPORATION,5125109,Momentum Analyzer V1.0,SHORT,$12.09 ,13-Nov-09,SHORT,$23.08 ,2-May-07,-20.08%,10.37%,152.56pp,100.00pp,$17.60 ,$10.84 ,N,28-Oct-13,15,50.00%,50.00%,4,48,7-Jul-97,2.3,3.24,ADOBE SYSTEMS INCORPORATED,ADBE,3.35,2.1,SYNTEL INC.,SYNT,3.12,1.41
ADBE,ADOBE SYSTEMS INCORPORATED,00724F101,Trend Analyzer V3.1,SHORT,$31.53 ,1-Jul-11,BUY,$27.10 ,5-Aug-05,2.64%,-100.00%,113.36pp,NaNpp,$35.53 ,$63.06 ,Y,26-Dec-13,15,100.00%,50.00%,5,30,24-Oct-00,3.19,2.41,MICROSOFT CORPORATION,MSFT,3.2,2.98,ADOBE SYSTEMS INCORPORATED,ADBE,3.19,2.41
ADBE,ADOBE SYSTEMS INCORPORATED,00724F101,Momentum Analyzer V1.0,BUY,$31.92 ,10-May-12,SHORT,$37.40 ,14-Mar-06,93.81%,-35.61%,188.81pp,171.63pp,$35.53 ,$61.87 ,N,5-Aug-14,10,66.67%,0.00%,6,27,12-Nov-99,3.19,2.41,MICROSOFT CORPORATION,MSFT,3.2,2.98,ADOBE SYSTEMS INCORPORATED,ADBE,3.19,2.41
ADES,ADA-ES INC.,5208103,Trend Analyzer V3.1,SHORT,$19.78 ,13-Dec-11,HOLD,$17.96 ,22-Jul-11,27.07%,2.51%,146.89pp,143.83pp,$16.48 ,$19.28 ,Y,21-Aug-12,5,66.67%,50.00%,12,8,9-Nov-04,-1,-1,,,-1,-1,,,-1,-1
ADES,ADA-ES INC.,5208103,Momentum Analyzer V1.0,BUY,$5.65 ,8-Jul-10,SHORT,$10.02 ,7-Apr-08,7.74%,36.26%,100.00pp,105.40pp,$16.48 ,$6.09 ,Y,30-Dec-11,5,100.00%,100.00%,4,18,5-Mar-07,-1,-1,,,-1,-1,,,-1,-1
ADM,ARCHER DANIELS MIDLAND COMPANY,39483102,Trend Analyzer V3.1,BUY,$31.85 ,9-Sep-10,SHORT,$34.05 ,27-Jul-07,19.50%,-71.66%,113.98pp,375.65pp,$27.15 ,$38.06 ,N,2-Aug-13,10,66.67%,50.00%,5,35,26-Oct-98,2.82,4.47,ARCHER DANIELS MIDLAND COMPANY,ADM,2.82,4.47,ASSOCIATED BRITISH FOODS PLC (ADR),ASBFY,2.75,3.31
ADM,ARCHER DANIELS MIDLAND COMPANY,39483102,Momentum Analyzer V1.0,BUY,$30.47 ,22-Jan-10,SHORT,$36.83 ,5-Dec-07,24.50%,-10.37%,118.40pp,148.49pp,$27.15 ,$37.93 ,N,25-Jul-11,5,80.00%,60.00%,10,18,16-Apr-98,2.82,4.47,ARCHER DANIELS MIDLAND COMPANY,ADM,2.82,4.47,ASSOCIATED BRITISH FOODS PLC (ADR),ASBFY,2.75,3.31
ADS,ALLIANCE DATA SYSTEMS CORPORATION,18581108,Trend Analyzer V3.1,BUY,$77.75 ,3-Dec-07,HOLD,$53.94 ,2-May-06,24.17%,-47.40%,100.00pp,106.19pp,$144.00 ,$96.54 ,Y,25-Mar-10,10,100.00%,0.00%,4,28,11-Dec-03,2.66,1.6,MASTERCARD INC,MA,3.1,1.39,VISA INC,V,2.91,1.78
ADS,ALLIANCE DATA SYSTEMS CORPORATION,18581108,Momentum Analyzer V1.0,SHORT,$85.06 ,30-Mar-11,BUY,$53.97 ,10-Jul-08,57.61%,-100.00%,100.00pp,NaNpp,$144.00 ,$170.12 ,Y,27-Dec-14,10,100.00%,0.00%,3,46,26-Dec-01,2.66,1.6,MASTERCARD INC,MA,3.1,1.39,VISA INC,V,2.91,1.78
ADSK,AUTODESK INC.,52769106,Trend Analyzer V3.1,BUY,$31.97 ,10-Sep-12,SHORT,$38.70 ,1-Jul-11,252.35%,-100.00%,122.04pp,NaNpp,$33.88 ,$112.65 ,N,20-Dec-14,15,100.00%,66.67%,6,28,18-Aug-99,3.14,1.99,GOOGLE INC,GOOG,3.8,1.46,ADOBE SYSTEMS INCORPORATED,ADBE,3.33,2.29
ADSK,AUTODESK INC.,52769106,Momentum Analyzer V1.0,SHORT,$28.85 ,23-Jul-10,BUY,$25.49 ,16-Oct-09,116.65%,-100.00%,228.51pp,NaNpp,$33.88 ,$57.70 ,Y,31-Dec-12,15,100.00%,33.33%,6,30,28-Aug-98,3.14,1.99,GOOGLE INC,GOOG,3.8,1.46,ADOBE SYSTEMS INCORPORATED,ADBE,3.33,2.29
ADTN,ADTRAN INC.,00738A106,Trend Analyzer V3.1,BUY,$33.60 ,9-Sep-10,HOLD,$17.90 ,8-Mar-05,186.87%,-55.33%,117.51pp,363.47pp,$19.30 ,$96.39 ,N,3-Aug-13,10,66.67%,50.00%,5,35,23-Oct-98,3.01,3.39,CISCO SYSTEMS INC.,CSCO,3.1,2.51,ADTRAN INC.,ADTN,3.01,3.39
ADTN,ADTRAN INC.,00738A106,Momentum Analyzer V1.0,SHORT,$20.77 ,30-Jul-12,SHORT,$24.94 ,11-Apr-06,64.11%,-53.32%,197.05pp,255.27pp,$19.30 ,$31.84 ,Y,30-Aug-14,20,33.33%,50.00%,5,25,11-Oct-02,3.01,3.39,CISCO SYSTEMS INC.,CSCO,3.1,2.51,ADTRAN INC.,ADTN,3.01,3.39
